category,pairs,positive_rate,PR_AUC
Обувь,3603,0.10296974743269498,0.2818166325767995
Ювелирные изделия,3721,0.12577264176296696,0.35804911342887924
Одежда,4587,0.11946806191410508,0.39308789463402166
Галантерея и аксессуары,3597,0.17486794551014734,0.538206917989419
Мебель,3665,0.15934515688949522,0.6097015267470984
Спорт и отдых,3562,0.25463222908478383,0.6190307360172558
Автотовары,3779,0.17306165652288966,0.641313310906058
Электроника,3767,0.17042739580568092,0.6487516631534064
Канцелярские товары,3494,0.34029765311963367,0.688544136335238
Строительство и ремонт,3541,0.21717029087828296,0.7203881167317573
Красота и гигиена,3467,0.36717623305451397,0.730713659714412
Дом и сад,3487,0.2624032119300258,0.7541304500564447
Аптека,3630,0.07493112947658402,0.7796173831242416
Музыкальные инструменты,3612,0.2159468438538206,0.7896532210708435
Бытовая техника,3653,0.3627155762387079,0.7930023878162888
Продукты питания,3665,0.2654843110504775,0.8073802084333185
Товары для животных,3604,0.36154273029966705,0.8333124767774085
Детские товары,3478,0.562392179413456,0.8457990422514924
Хобби и творчество,3610,0.4631578947368421,0.8472989136924628
Бытовая химия,3426,0.4708114419147694,0.8606799117507429
