category,pairs,positive_rate,PR_AUC
Обувь,6199,0.07226972092272947,0.3482819937403138
Одежда,10744,0.05426284437825763,0.4576739980946834
Галантерея и аксессуары,11660,0.07830188679245283,0.5411606100438731
Ювелирные изделия,1265,0.18102766798418973,0.6646124414255921
Красота и гигиена,16959,0.2015449024116988,0.7879526272962087
Дом и сад,13003,0.21418134276705375,0.7940086475765487
Электроника,14657,0.08849014122944668,0.8136776642985263
Детские товары,11415,0.3044240035041612,0.8167488354098835
Канцелярские товары,7406,0.2765325411828247,0.8181620688281172
Спорт и отдых,9752,0.20365053322395407,0.8221232146033761
Мебель,6185,0.19207760711398544,0.8254491581665448
Продукты питания,10153,0.30158573820545653,0.8572160655955345
Строительство и ремонт,12848,0.2500778331257783,0.868739683705958
Хобби и творчество,7507,0.3022512321832956,0.8753770163688184
Бытовая техника,6061,0.3771654842435242,0.8967264677259834
Бытовая химия,2266,0.46910856134157103,0.9168058143181084
Аптека,5327,0.2902196358175333,0.9171814135716165
Товары для животных,20306,0.25253619619816803,0.918800105824376
Музыкальные инструменты,1744,0.5567660550458715,0.9220317377367947
Автотовары,16098,0.2989191203876258,0.9409173659667425
