category,global_w_e5,chosen_w_e5,global_AP,chosen_AP,tune_gain,pairs
Галантерея и аксессуары,0.9,1.0,0.5310132616353367,0.5379930408811227,0.006979779245785966,6448
Электроника,0.9,1.0,0.804032437859583,0.8094682516605861,0.005435813801003109,7448
Канцелярские товары,0.9,1.0,0.7889826514006396,0.7921351846453055,0.0031525332446659116,3712
Красота и гигиена,0.9,0.95,0.7864959188385721,0.7888171004057711,0.002321181567199071,9900
Бытовая химия,0.9,0.9,0.9360959389331944,0.9360959389331944,0.0,1435
Бытовая техника,0.9,0.9,0.8961544032022671,0.8961544032022671,0.0,3074
Аптека,0.9,0.9,0.9145775639259852,0.9145775639259852,0.0,2400
Автотовары,0.9,0.9,0.9478555471396635,0.9478555471396635,0.0,7982
Дом и сад,0.9,0.9,0.7959687100451789,0.7959687100451789,0.0,6400
Мебель,0.9,0.9,0.8149426616074174,0.8149426616074174,0.0,3236
Музыкальные инструменты,0.9,0.9,0.9180107698988428,0.9180107698988428,0.0,852
Детские товары,0.9,0.9,0.859153935661456,0.859153935661456,0.0,4511
Обувь,0.9,0.9,0.38262586880133265,0.38262586880133265,0.0,3171
Одежда,0.9,0.9,0.4887012583622928,0.4887012583622928,0.0,5131
Спорт и отдых,0.9,0.9,0.8254185204877249,0.8254185204877249,0.0,3953
Продукты питания,0.9,0.9,0.8428200684345909,0.8428200684345909,0.0,4828
Строительство и ремонт,0.9,0.9,0.8756674984312844,0.8756674984312844,0.0,6261
Товары для животных,0.9,0.9,0.9011466546397546,0.9011466546397546,0.0,2567
Хобби и творчество,0.9,0.9,0.8765919022535179,0.8765919022535179,0.0,3912
Ювелирные изделия,0.9,0.9,0.7515149039162823,0.7515149039162823,0.0,573
